account_holder_name,bank_name,type,currency,location,previous_location,device,amount,balance,txn_count_last_1hr,txn_count_last_24hr,avg_txn_amount_30days,distance_from_last_txn_km,account_age_days,is_new_location,is_new_device,is_vpn_or_proxy,ip_matches_location,is_international,is_first_time_receiver,merchant_category,transaction_mode,ip_risk_tag,risk_score,risk_level,is_fraud,fraud_reason,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10,r11,r12,r13,r14
Anjali Desai,Union Bank,debit,INR,Kochi,Kochi,Web,1705.13,8493.52,0,1,5057,50,1056,0,0,0,1,0,0,food,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neha Sharma,HDFC,debit,INR,Kochi,Hyderabad,Smart TV,2846.87,53325.48,1,1,7718,33,1143,0,0,0,1,0,0,entertainment,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sneha Pillai,PNB,debit,INR,Hyderabad,Hyderabad,Desktop,11072,104996,8,22,3000.0,0,207,0,1,1,0,0,0,retail,UPI,VPN,10.0,CRITICAL,1,R04:RapidFire(8txns/hr) | R07:NewDeviceDetected(Desktop) | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:CommercialVPN | R13:HighDailyVolume(22txns),0,0,0,1,0,0,1,1,0,0,0,0,1,0
Ananya Mishra,RBL Bank,debit,INR,Gurgaon,Indore,Web,2800.57,53343.28,1,2,4026,24,1208,0,0,0,1,0,0,food,NEFT,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vikram Rao,Axis,debit,INR,Pune,Pune,Windows Phone,61067,92949,3,8,2000.0,0,23,0,0,1,0,0,1,crypto,IMPS,DATACENTER,10.0,CRITICAL,1,R01:HighAmount(=61067) | R05:CryptoMerchant | R08a:VPN/ProxyFlag | R08b:IPLocationMismatch | R08c:DatacenterIP(botSuspect) | R10:NewReceiverHighAmount(61067) | R11:AmountSpike(31xAvg) | R12:NewAccountLargeTransfer(age=23days),1,0,0,0,1,0,0,1,0,1,1,1,0,0
Anjali Desai,Union Bank,debit,INR,Patna,Lucknow,MacBook,1479.15,10107.6,2,4,2878,18,541,0,0,0,1,0,0,insurance,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sneha Pillai,IDFC First,debit,INR,Patna,Jaipur,iPhone,4316.66,42062.64,2,0,4716,48,1542,0,0,0,1,0,0,utilities,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Kumar,IDFC First,debit,INR,Mumbai,Surat,ATM,2033.72,25229.88,2,2,5786,48,533,0,0,0,1,0,0,retail,UPI,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kavya Reddy,RBL Bank,debit,INR,Nagpur,Nagpur,iPhone,811.33,29503.32,1,0,2669,33,649,0,0,0,1,0,0,insurance,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ishita Chaudhary,Bank of Baroda,debit,INR,Kolkata,Kochi,iPhone,2619.2,14149.8,0,3,2140,48,543,0,0,0,1,0,0,food,CARD,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diya Mehta,RBL Bank,debit,INR,Bhopal,Indore,iPad,7472.93,68603.72,1,1,7256,49,1280,0,0,0,1,0,0,healthcare,RTGS,CLEAN,0.0,LOW,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
